,County,Latitude,Longitude,Ocean Proximity,Population,Households,Average Income,Average House Value
3786,Sacramento,38.49,-121.4,INLAND,3960,1248,35968,106300
3787,Sacramento,38.53,-121.4,INLAND,65,35,9274,67500
3788,Sacramento,38.55,-121.4,INLAND,1836,831,39625,142450
3789,Sacramento,38.56,-121.4,INLAND,838,368,71430,327800
3790,Sacramento,38.57,-121.4,INLAND,639,278,58416,297600
3791,Sacramento,38.59,-121.4,INLAND,2311,1097,22898,140700
3792,Sacramento,38.61,-121.4,INLAND,2297,1137,30698,127600
3793,Sacramento,38.62,-121.4,INLAND,1733,820,22292,113200
3794,Sacramento,38.63,-121.4,INLAND,2656,1250,21870,114550
3795,Sacramento,38.66,-121.4,INLAND,1148,148,25062,112500
3796,Sacramento,38.71,-121.4,INLAND,2626,729,38355,107000
3797,Yuba,39.33,-121.4,INLAND,1200,432,35179,107200
3798,Monterey,36.16,-121.39,NEAR OCEAN,288,130,30526,146900
3799,Sacramento,38.43,-121.39,INLAND,990,316,54445,237600
3800,Sacramento,38.51,-121.39,INLAND,758,320,20062,92000
3801,Sacramento,38.55,-121.39,INLAND,1836,869,27161,140250
3802,Sacramento,38.56,-121.39,INLAND,3517,1453,43644,137400
3803,Sacramento,38.57,-121.39,INLAND,863,359,84016,338700
3804,Sacramento,38.58,-121.39,INLAND,1791,695,45934,270850
3805,Sacramento,38.59,-121.39,INLAND,1616,721,25132,110850
3806,Sacramento,38.6,-121.39,INLAND,2607,1250,25238,118800
3807,Sacramento,38.61,-121.39,INLAND,2011,879,27096,146750
3808,Sacramento,38.62,-121.39,INLAND,3393,1969,20510,165700
3809,Sacramento,38.63,-121.39,INLAND,2020,835,32940,134650
3810,Sacramento,38.64,-121.39,INLAND,652,229,36937,99300
3811,Sacramento,38.67,-121.39,INLAND,240,106,9338,112500
3812,Sacramento,38.69,-121.39,INLAND,1662,529,39780,98350
3813,Placer,38.85,-121.39,INLAND,1714,590,40862,162700
3814,Yuba,39.12,-121.39,INLAND,6912,1818,20943,108300
3815,Butte,39.39,-121.39,INLAND,121,37,30208,60000
3816,Butte,39.61,-121.39,INLAND,986,391,28871,94700
3817,San Benito,36.84,-121.38,INLAND,3548,1129,39114,219400
3818,San Benito,36.85,-121.38,INLAND,2903,747,37316,192400
3819,San Joaquin,37.88,-121.38,INLAND,1094,224,26842,156300
3820,Sacramento,38.4,-121.38,INLAND,1722,616,48831,154400
3821,Sacramento,38.41,-121.38,INLAND,4454,1473,46028,144550
3822,Sacramento,38.47,-121.38,INLAND,6578,2140,45604,145900
3823,Sacramento,38.49,-121.38,INLAND,4224,1648,29647,108900
3824,Sacramento,38.55,-121.38,INLAND,2188,745,45116,132300
3825,Sacramento,38.58,-121.38,INLAND,1176,454,50497,191700
3826,Sacramento,38.59,-121.38,INLAND,2467,924,36022,130367
3827,Sacramento,38.6,-121.38,INLAND,362,143,68469,446400
3828,Sacramento,38.61,-121.38,INLAND,2031,931,33070,137750
3829,Sacramento,38.62,-121.38,INLAND,1483,742,28812,115900
3830,Sacramento,38.64,-121.38,INLAND,2256,926,21472,143400
3831,Sacramento,38.65,-121.38,INLAND,355,130,31858,109500
3832,Sacramento,38.66,-121.38,INLAND,2393,862,18972,100500
3833,Sacramento,38.67,-121.38,INLAND,1664,583,23373,75900
3834,Sacramento,38.68,-121.38,INLAND,1742,614,27704,85000
3835,Sacramento,38.69,-121.38,INLAND,1460,510,26713,84400
3836,Sacramento,38.7,-121.38,INLAND,2203,783,22402,89500
3837,Sacramento,38.71,-121.38,INLAND,2857,907,39318,133000
3838,San Benito,36.83,-121.37,INLAND,1951,600,47600,216000
3839,San Benito,36.84,-121.37,INLAND,1023,358,35714,243000
3840,San Benito,36.89,-121.37,INLAND,1753,451,40250,293800
3841,Santa Clara,37.06,-121.37,INLAND,300,104,38062,340900
3842,San Joaquin,37.77,-121.37,INLAND,1290,452,41298,222800
3843,San Joaquin,38.01,-121.37,INLAND,1016,314,100088,242000
3844,Sacramento,38.39,-121.37,INLAND,893,256,62575,143500
3845,Sacramento,38.41,-121.37,INLAND,1741,646,35625,125700
3846,Sacramento,38.42,-121.37,INLAND,1755,541,33281,91200
3847,Sacramento,38.55,-121.37,INLAND,1287,440,45815,125500
3848,Sacramento,38.56,-121.37,INLAND,4679,1909,26015,94667
3849,Sacramento,38.57,-121.37,INLAND,3463,1681,39542,261400
3850,Sacramento,38.58,-121.37,INLAND,1006,400,73343,280400
3851,Sacramento,38.59,-121.37,INLAND,1765,754,41464,200950
3852,Sacramento,38.6,-121.37,INLAND,1726,699,48108,210050
3853,Sacramento,38.61,-121.37,INLAND,789,337,34201,120600
3854,Sacramento,38.62,-121.37,INLAND,1144,550,23408,140850
3855,Sacramento,38.63,-121.37,INLAND,4237,1863,40315,137867
3856,Sacramento,38.64,-121.37,INLAND,890,341,41448,149500
3857,Sacramento,38.66,-121.37,INLAND,4300,1799,24209,94650
3858,Sacramento,38.67,-121.37,INLAND,1745,586,24136,75750
3859,Sacramento,38.68,-121.37,INLAND,4561,1383,31458,82175
3860,Sacramento,38.69,-121.37,INLAND,2721,863,30068,83733
3861,Sacramento,38.7,-121.37,INLAND,3016,983,35698,91600
3862,Yuba,39.03,-121.37,INLAND,598,227,28235,65500
3863,San Benito,36.81,-121.36,INLAND,1660,720,50871,290500
3864,San Joaquin,37.96,-121.36,INLAND,227,107,39922,247400
3865,San Joaquin,37.99,-121.36,INLAND,684,350,42589,134900
3866,San Joaquin,38.0,-121.36,INLAND,1562,743,53224,225800
3867,San Joaquin,38.01,-121.36,INLAND,2150,959,36279,142433
3868,San Joaquin,38.02,-121.36,INLAND,1010,474,41719,206100
3869,San Joaquin,38.03,-121.36,INLAND,2896,1222,36530,108750
3870,San Joaquin,38.04,-121.36,INLAND,2524,728,52856,155150
3871,San Joaquin,38.15,-121.36,INLAND,878,318,43553,185700
3872,Sacramento,38.39,-121.36,INLAND,2568,758,52447,148100
3873,Sacramento,38.4,-121.36,INLAND,2333,843,41750,144400
3874,Sacramento,38.42,-121.36,INLAND,1168,345,51811,188400
3875,Sacramento,38.55,-121.36,INLAND,554,191,28021,118800
3876,Sacramento,38.56,-121.36,INLAND,3731,1235,35584,85250
3877,Sacramento,38.57,-121.36,INLAND,653,235,56485,129500
3878,Sacramento,38.58,-121.36,INLAND,978,419,84699,344000
3879,Sacramento,38.59,-121.36,INLAND,1185,436,50508,225700
3880,Sacramento,38.6,-121.36,INLAND,1335,583,41696,133300
3881,Sacramento,38.61,-121.36,INLAND,1944,716,44687,151800
3882,Sacramento,38.62,-121.36,INLAND,1077,456,30580,133000
3883,Sacramento,38.63,-121.36,INLAND,3571,1293,48017,155450
3884,Sacramento,38.64,-121.36,INLAND,2667,1031,55632,175200
3885,Sacramento,38.66,-121.36,INLAND,1786,696,32454,106300
3886,Sacramento,38.67,-121.36,INLAND,4708,1980,23011,99550
3887,Sacramento,38.69,-121.36,INLAND,4251,1421,36989,93300
3888,Placer,38.73,-121.36,INLAND,1050,411,31410,220100
3889,Butte,39.52,-121.36,INLAND,1229,497,23917,85700
3890,San Joaquin,37.96,-121.35,INLAND,462,193,58995,189900
3891,San Joaquin,37.97,-121.35,INLAND,1698,671,31406,93900
3892,San Joaquin,38.0,-121.35,INLAND,2271,1049,35490,138100
3893,San Joaquin,38.01,-121.35,INLAND,1520,601,35982,94400
3894,San Joaquin,38.02,-121.35,INLAND,3484,902,31342,136500
3895,San Joaquin,38.03,-121.35,INLAND,2491,770,49470,143500
3896,San Joaquin,38.04,-121.35,INLAND,5977,1582,46524,152550
3897,San Joaquin,38.09,-121.35,INLAND,923,284,55057,147200
3898,Sacramento,38.28,-121.35,INLAND,1986,530,32234,82000
3899,Sacramento,38.4,-121.35,INLAND,1373,424,31750,94400
3900,Sacramento,38.46,-121.35,INLAND,2816,984,43879,144400
3901,Sacramento,38.51,-121.35,INLAND,1054,352,42206,157700
3902,Sacramento,38.54,-121.35,INLAND,8656,3234,35691,116300
3903,Sacramento,38.55,-121.35,INLAND,3427,1182,45180,125100
3904,Sacramento,38.56,-121.35,INLAND,2468,856,47844,136300
3905,Sacramento,38.58,-121.35,INLAND,1105,368,86572,320200
3906,Sacramento,38.59,-121.35,INLAND,460,206,53243,265700
3907,Sacramento,38.6,-121.35,INLAND,1662,575,50997,170100
3908,Sacramento,38.61,-121.35,INLAND,3689,1897,26650,124900
3909,Sacramento,38.62,-121.35,INLAND,2032,830,34299,164000
3910,Sacramento,38.65,-121.35,INLAND,1185,506,32243,107900
3911,Sacramento,38.66,-121.35,INLAND,3325,1455,26284,118200
3912,Sacramento,38.68,-121.35,INLAND,7244,2702,39260,109300
3913,Sacramento,38.7,-121.35,INLAND,7608,2832,35802,129600
3914,Sacramento,38.72,-121.35,INLAND,8652,2873,45432,151300
3915,San Benito,36.76,-121.34,INLAND,1289,357,41528,336800
3916,San Joaquin,37.96,-121.34,INLAND,3564,1070,25819,86550
3917,San Joaquin,37.97,-121.34,INLAND,1203,436,37650,94600
3918,San Joaquin,37.98,-121.34,INLAND,1158,393,53002,191700
3919,San Joaquin,37.99,-121.34,INLAND,3373,1305,52588,214650
3920,San Joaquin,38.0,-121.34,INLAND,1642,647,40444,129200
3921,San Joaquin,38.01,-121.34,INLAND,1114,446,32872,175000
3922,San Joaquin,38.02,-121.34,INLAND,2038,709,51202,133800
3923,San Joaquin,38.03,-121.34,INLAND,3271,1094,46962,132150
3924,San Joaquin,38.04,-121.34,INLAND,2279,576,36083,146400
3925,San Joaquin,38.05,-121.34,INLAND,267,90,56147,244700
3926,Sacramento,38.44,-121.34,INLAND,1439,456,57452,240900
3927,Sacramento,38.55,-121.34,INLAND,1701,504,41447,114000
3928,Sacramento,38.56,-121.34,INLAND,1440,593,29896,118600
3929,Sacramento,38.57,-121.34,INLAND,2731,983,44602,134500
3930,Sacramento,38.58,-121.34,INLAND,1347,490,64474,200650
3931,Sacramento,38.59,-121.34,INLAND,2283,873,69837,302950
3932,Sacramento,38.61,-121.34,INLAND,4183,1853,28671,156800
3933,Sacramento,38.62,-121.34,INLAND,1658,730,24537,153000
3934,Sacramento,38.63,-121.34,INLAND,1363,519,40036,161700
3935,Sacramento,38.64,-121.34,INLAND,2463,1047,37815,150350
3936,Sacramento,38.65,-121.34,INLAND,610,253,46000,199000
3937,Sacramento,38.66,-121.34,INLAND,4452,1934,23029,121167
3938,Sacramento,38.67,-121.34,INLAND,1062,419,35384,119600
3939,Sacramento,38.68,-121.34,INLAND,1543,556,42743,124000
3940,Sacramento,38.69,-121.34,INLAND,2549,860,37444,113500
3941,Monterey,36.43,-121.33,<1H OCEAN,902,196,26250,109100
3942,San Joaquin,37.96,-121.33,INLAND,1636,681,25342,86450
3943,San Joaquin,37.97,-121.33,INLAND,3071,1252,30383,89933
3944,San Joaquin,37.98,-121.33,INLAND,3518,1277,37695,137033
3945,San Joaquin,37.99,-121.33,INLAND,1837,976,25000,175900
3946,San Joaquin,38.0,-121.33,INLAND,3856,1634,32129,109250
3947,San Joaquin,38.01,-121.33,INLAND,1161,458,56186,153500
3948,San Joaquin,38.02,-121.33,INLAND,2632,1041,39281,139433
3949,San Joaquin,38.03,-121.33,INLAND,1541,434,36070,128650
3950,San Joaquin,38.04,-121.33,INLAND,2947,892,47845,147400
3951,Sacramento,38.28,-121.33,INLAND,659,183,44306,170100
3952,Sacramento,38.56,-121.33,INLAND,1694,666,33110,109400
3953,Sacramento,38.57,-121.33,INLAND,706,338,23684,150000
3954,Sacramento,38.6,-121.33,INLAND,1635,640,62817,288200
3955,Sacramento,38.61,-121.33,INLAND,1326,505,27079,148000
3956,Sacramento,38.62,-121.33,INLAND,772,397,22574,135800
3957,Sacramento,38.63,-121.33,INLAND,866,400,27181,156800
3958,Sacramento,38.64,-121.33,INLAND,1158,492,24342,119500
3959,Sacramento,38.65,-121.33,INLAND,2628,1236,27186,190850
3960,Sacramento,38.66,-121.33,INLAND,3117,1386,26853,115450
3961,Sacramento,38.67,-121.33,INLAND,1410,659,19620,130200
3962,Sacramento,38.68,-121.33,INLAND,2244,1219,19093,142900
3963,Sacramento,38.69,-121.33,INLAND,1635,544,46923,122700
3964,Sacramento,38.7,-121.33,INLAND,1004,417,27868,117800
3965,Placer,38.77,-121.33,INLAND,8361,3112,42259,169300
3966,Monterey,35.95,-121.32,NEAR OCEAN,479,67,35547,200000
3967,Monterey,36.42,-121.32,<1H OCEAN,1219,273,30437,76600
3968,Monterey,36.43,-121.32,<1H OCEAN,2546,618,27153,114300
3969,San Benito,36.79,-121.32,INLAND,288,95,36333,202500
3970,San Joaquin,37.67,-121.32,INLAND,781,255,43015,250000
3971,San Joaquin,37.94,-121.32,INLAND,64,14,26250,55000
3972,San Joaquin,37.95,-121.32,INLAND,1080,354,15255,52550
3973,San Joaquin,37.96,-121.32,INLAND,1947,750,26633,75100
3974,San Joaquin,37.97,-121.32,INLAND,2190,891,31171,88300
3975,San Joaquin,37.98,-121.32,INLAND,3653,1201,22096,94350
3976,San Joaquin,38.0,-121.32,INLAND,1895,955,21110,94500
3977,San Joaquin,38.01,-121.32,INLAND,1090,438,26905,99600
3978,San Joaquin,38.02,-121.32,INLAND,3434,1167,33054,101950
3979,San Joaquin,38.03,-121.32,INLAND,3809,1149,37246,120750
3980,San Joaquin,38.04,-121.32,INLAND,167,45,45000,92800
3981,San Joaquin,38.13,-121.32,INLAND,1327,467,55942,186900
3982,San Joaquin,38.15,-121.32,INLAND,2725,902,39323,130100
3983,San Joaquin,38.16,-121.32,INLAND,1071,369,35000,240800
3984,San Joaquin,38.21,-121.32,INLAND,1455,444,36398,146700
3985,Sacramento,38.26,-121.32,INLAND,3077,953,41179,134600
3986,Sacramento,38.41,-121.32,INLAND,1970,639,58239,247500
3987,Sacramento,38.54,-121.32,INLAND,2420,1059,29693,104400
3988,Sacramento,38.56,-121.32,INLAND,614,192,45766,108700
3989,Sacramento,38.57,-121.32,INLAND,2237,637,44998,114300
3990,Sacramento,38.59,-121.32,INLAND,6823,2524,30926,129900
3991,Sacramento,38.61,-121.32,INLAND,1870,763,27740,190200
3992,Sacramento,38.62,-121.32,INLAND,1557,595,28880,163100
3993,Sacramento,38.63,-121.32,INLAND,3107,1315,30348,150500
3994,Sacramento,38.64,-121.32,INLAND,3576,1467,36523,158500
3995,Sacramento,38.65,-121.32,INLAND,1210,453,30952,157700
3996,Sacramento,38.66,-121.32,INLAND,1001,399,45140,153500
3997,Sacramento,38.67,-121.32,INLAND,4899,1969,33408,112233
3998,Sacramento,38.68,-121.32,INLAND,587,217,35893,146400
3999,Sacramento,38.69,-121.32,INLAND,6000,2250,38776,124500
4000,Sacramento,38.7,-121.32,INLAND,4984,1671,35597,123100
4001,Sacramento,38.71,-121.32,INLAND,2474,782,45245,127500
4002,Placer,38.74,-121.32,INLAND,670,232,43897,186300
4003,Placer,38.89,-121.32,INLAND,3369,1176,28194,111300
4004,Yuba,39.13,-121.32,INLAND,169,59,30000,162500
4005,Yuba,39.29,-121.32,INLAND,1257,445,35673,112000
4006,Yuba,39.43,-121.32,INLAND,741,349,18672,84700
4007,Monterey,36.42,-121.31,<1H OCEAN,2630,564,26629,102700
4008,Stanislaus,37.44,-121.31,INLAND,47,14,5360,112500
4009,San Joaquin,37.81,-121.31,INLAND,130,47,31429,179200
4010,San Joaquin,37.9,-121.31,INLAND,125,38,29000,125000
4011,San Joaquin,37.93,-121.31,INLAND,1140,304,24667,81400
4012,San Joaquin,37.94,-121.31,INLAND,323,98,19531,45000
4013,San Joaquin,37.96,-121.31,INLAND,3222,1349,31303,99050
4014,San Joaquin,37.97,-121.31,INLAND,1708,751,44291,153400
4015,San Joaquin,37.98,-121.31,INLAND,1228,619,30625,141500
4016,San Joaquin,37.99,-121.31,INLAND,4711,1541,16294,107800
4017,San Joaquin,38.0,-121.31,INLAND,1283,512,41875,120150
4018,San Joaquin,38.01,-121.31,INLAND,2671,1156,21311,96050
4019,San Joaquin,38.02,-121.31,INLAND,2734,879,27981,92100
4020,San Joaquin,38.03,-121.31,INLAND,4779,1546,31312,107650
4021,Sacramento,38.26,-121.31,INLAND,1005,420,18846,88300
4022,Sacramento,38.28,-121.31,INLAND,687,378,19485,155400
4023,Sacramento,38.57,-121.31,INLAND,2396,815,30096,107450
4024,Sacramento,38.58,-121.31,INLAND,962,497,25035,112500
4025,Sacramento,38.59,-121.31,INLAND,1454,536,31711,101900
4026,Sacramento,38.61,-121.31,INLAND,316,159,66238,326700
4027,Sacramento,38.62,-121.31,INLAND,1121,456,62440,240000
4028,Sacramento,38.64,-121.31,INLAND,1927,804,46302,195400
4029,Sacramento,38.65,-121.31,INLAND,1053,374,55000,165700
4030,Sacramento,38.66,-121.31,INLAND,1512,562,49731,138450
4031,Sacramento,38.67,-121.31,INLAND,1777,587,44894,125600
4032,Sacramento,38.68,-121.31,INLAND,2726,1374,29806,108400
4033,Sacramento,38.71,-121.31,INLAND,2071,660,43836,102000
4034,Sacramento,38.72,-121.31,INLAND,1308,418,39506,122200
4035,Placer,38.75,-121.31,INLAND,2147,706,40519,129200
4036,Placer,38.97,-121.31,INLAND,726,222,27083,82100
4037,San Joaquin,37.85,-121.3,INLAND,604,192,22391,120000
4038,San Joaquin,37.92,-121.3,INLAND,3201,720,17694,73900
4039,San Joaquin,37.94,-121.3,INLAND,435,102,18584,64150
4040,San Joaquin,37.95,-121.3,INLAND,575,193,22024,45000
4041,San Joaquin,37.96,-121.3,INLAND,4015,1635,20876,97425
4042,San Joaquin,37.97,-121.3,INLAND,1894,895,31796,109500
4043,San Joaquin,37.98,-121.3,INLAND,2378,1075,34057,96050
4044,San Joaquin,37.99,-121.3,INLAND,1167,471,26673,87500
4045,San Joaquin,38.0,-121.3,INLAND,5123,1563,22134,108100
4046,San Joaquin,38.01,-121.3,INLAND,2762,936,36364,97750
4047,San Joaquin,38.02,-121.3,INLAND,3834,991,26998,96900
4048,San Joaquin,38.03,-121.3,INLAND,2898,944,32249,101833
4049,San Joaquin,38.04,-121.3,INLAND,1713,444,40156,117600
4050,San Joaquin,38.05,-121.3,INLAND,62,25,11500,112500
4051,San Joaquin,38.09,-121.3,INLAND,154,55,20694,175000
4052,San Joaquin,38.11,-121.3,INLAND,2679,1084,41960,171700
4053,San Joaquin,38.12,-121.3,INLAND,767,263,76889,229300
4054,San Joaquin,38.13,-121.3,INLAND,2705,1063,37258,134067
4055,San Joaquin,38.14,-121.3,INLAND,1867,709,32123,120700
4056,Sacramento,38.25,-121.3,INLAND,1703,517,25727,86100
4057,Sacramento,38.26,-121.3,INLAND,901,290,32150,104600
4058,Sacramento,38.51,-121.3,INLAND,457,133,41500,157500
4059,Sacramento,38.58,-121.3,INLAND,4163,1479,26408,91467
4060,Sacramento,38.59,-121.3,INLAND,1660,613,21116,89600
4061,Sacramento,38.6,-121.3,INLAND,4951,1710,33926,103400
4062,Sacramento,38.61,-121.3,INLAND,1423,490,43235,116900
4063,Sacramento,38.63,-121.3,INLAND,992,339,30972,150000
4064,Sacramento,38.64,-121.3,INLAND,2330,830,40833,160000
4065,Sacramento,38.65,-121.3,INLAND,1978,724,40565,132950
4066,Sacramento,38.66,-121.3,INLAND,4656,1607,37499,131767
4067,Sacramento,38.67,-121.3,INLAND,3741,1374,40431,129400
4068,Sacramento,38.68,-121.3,INLAND,1253,454,52817,140600
4069,Sacramento,38.69,-121.3,INLAND,4137,1530,38867,125150
4070,Sacramento,38.7,-121.3,INLAND,3339,1271,32350,124700
4071,Sacramento,38.71,-121.3,INLAND,2755,1047,28226,99900
4072,Sacramento,38.72,-121.3,INLAND,1166,503,22813,131900
4073,Placer,38.73,-121.3,INLAND,2717,1043,36455,139200
4074,Placer,38.74,-121.3,INLAND,2387,959,23611,87900
4075,Placer,38.75,-121.3,INLAND,2313,804,26550,86300
4076,Placer,38.89,-121.3,INLAND,1805,596,32286,95300
4077,Placer,39.0,-121.3,INLAND,1630,540,40282,126400
4078,San Benito,36.9,-121.29,INLAND,1734,559,58324,374200
4079,Stanislaus,37.33,-121.29,INLAND,27,8,40000,75000
4080,San Joaquin,37.72,-121.29,INLAND,4402,358,19792,63000
4081,San Joaquin,37.8,-121.29,INLAND,69,24,37292,475000
4082,San Joaquin,37.87,-121.29,INLAND,308,115,26563,103100
4083,San Joaquin,37.89,-121.29,INLAND,1542,30,57485,162500
4084,San Joaquin,37.92,-121.29,INLAND,1175,278,31053,73100
4085,San Joaquin,37.93,-121.29,INLAND,3148,856,26670,60450
4086,San Joaquin,37.94,-121.29,INLAND,2037,574,20303,63800
4087,San Joaquin,37.95,-121.29,INLAND,877,389,7530,50833
4088,San Joaquin,37.96,-121.29,INLAND,3361,1289,11944,95725
4089,San Joaquin,37.97,-121.29,INLAND,2417,943,15378,104500
4090,San Joaquin,37.98,-121.29,INLAND,1704,709,25647,71050
4091,San Joaquin,37.99,-121.29,INLAND,2980,904,22079,82367
4092,San Joaquin,38.0,-121.29,INLAND,5224,1251,21724,118400
4093,San Joaquin,38.01,-121.29,INLAND,3377,977,41186,129350
4094,San Joaquin,38.02,-121.29,INLAND,1849,396,25437,99000
4095,San Joaquin,38.03,-121.29,INLAND,3244,1224,24257,101200
4096,San Joaquin,38.04,-121.29,INLAND,1860,459,31779,97300
4097,San Joaquin,38.07,-121.29,INLAND,533,213,31917,204500
4098,San Joaquin,38.1,-121.29,INLAND,785,281,37750,163300
4099,San Joaquin,38.12,-121.29,INLAND,741,263,39607,132500
4100,San Joaquin,38.13,-121.29,INLAND,1843,685,36958,134150
4101,San Joaquin,38.14,-121.29,INLAND,2386,950,32079,113333
4102,San Joaquin,38.15,-121.29,INLAND,1886,628,48787,175300
4103,Sacramento,38.28,-121.29,INLAND,793,233,48073,156700
4104,Sacramento,38.36,-121.29,INLAND,1148,372,45272,191700
4105,Sacramento,38.59,-121.29,INLAND,1346,480,36563,95600
4106,Sacramento,38.6,-121.29,INLAND,600,223,40938,109100
4107,Sacramento,38.61,-121.29,INLAND,7507,2676,42123,121600
4108,Sacramento,38.63,-121.29,INLAND,1284,487,33182,213000
4109,Sacramento,38.65,-121.29,INLAND,1340,452,38816,147300
4110,Sacramento,38.67,-121.29,INLAND,889,346,36516,130500
4111,Sacramento,38.68,-121.29,INLAND,2950,1425,27016,138250
4112,Sacramento,38.71,-121.29,INLAND,1027,343,35769,103800
4113,Placer,38.76,-121.29,INLAND,443,170,60097,187500
4114,Placer,38.89,-121.29,INLAND,407,146,33889,110800
4115,Placer,38.9,-121.29,INLAND,1104,407,31691,108700
4116,San Joaquin,37.82,-121.28,INLAND,5935,1673,36500,119400
4117,San Joaquin,37.83,-121.28,INLAND,443,144,25156,86300
4118,San Joaquin,37.9,-121.28,INLAND,171,70,9614,55700
4119,San Joaquin,37.91,-121.28,INLAND,576,155,16900,65900
4120,San Joaquin,37.92,-121.28,INLAND,1302,319,23058,60950
4121,San Joaquin,37.93,-121.28,INLAND,1223,343,21591,67800
4122,San Joaquin,37.94,-121.28,INLAND,7351,2053,17479,55975
4123,San Joaquin,37.95,-121.28,INLAND,2557,651,11999,57900
4124,San Joaquin,37.96,-121.28,INLAND,1618,638,9365,52500
4125,San Joaquin,37.97,-121.28,INLAND,1455,479,16500,66000
4126,San Joaquin,37.98,-121.28,INLAND,414,171,21429,69900
4127,San Joaquin,37.99,-121.28,INLAND,284,97,28854,55700
4128,San Joaquin,38.02,-121.28,INLAND,1258,389,31750,95900
4129,San Joaquin,38.03,-121.28,INLAND,3453,881,35086,100750
4130,San Joaquin,38.1,-121.28,INLAND,1441,606,25556,133100
4131,San Joaquin,38.11,-121.28,INLAND,1559,568,38825,136800
4132,San Joaquin,38.12,-121.28,INLAND,1906,628,28237,110700
4133,San Joaquin,38.13,-121.28,INLAND,2720,1049,33013,134300
4134,San Joaquin,38.14,-121.28,INLAND,2654,1084,37588,114150
4135,San Joaquin,38.17,-121.28,INLAND,744,225,40924,244200
4136,Sacramento,38.53,-121.28,INLAND,95,41,31042,165000
4137,Sacramento,38.55,-121.28,INLAND,4885,1272,26981,112500
4138,Sacramento,38.59,-121.28,INLAND,2081,995,30481,92500
4139,Sacramento,38.6,-121.28,INLAND,1412,564,31424,112050
4140,Sacramento,38.61,-121.28,INLAND,2736,1030,26039,99700
4141,Sacramento,38.63,-121.28,INLAND,30,14,102264,350000
4142,Sacramento,38.64,-121.28,INLAND,2709,1187,42480,214150
4143,Sacramento,38.66,-121.28,INLAND,3153,1331,37869,216100
4144,Sacramento,38.67,-121.28,INLAND,1263,432,49211,159400
4145,Sacramento,38.68,-121.28,INLAND,7546,3036,31758,134250
4146,Sacramento,38.7,-121.28,INLAND,5446,2075,34012,128050
4147,Sacramento,38.71,-121.28,INLAND,3583,1473,32362,115300
4148,Placer,38.73,-121.28,INLAND,1747,631,54190,267400
4149,Placer,38.74,-121.28,INLAND,1775,789,40500,134700
4150,Placer,38.75,-121.28,INLAND,189,94,21080,83800
4151,Placer,38.76,-121.28,INLAND,1276,578,21366,101900
4152,Placer,38.77,-121.28,INLAND,1738,587,58718,201400
4153,Placer,38.8,-121.28,INLAND,4445,1591,38160,147900
4154,Placer,38.9,-121.28,INLAND,765,240,27656,93600
4155,Stanislaus,37.56,-121.27,INLAND,1067,245,28558,100000
4156,San Joaquin,37.79,-121.27,INLAND,1013,362,27083,173900
4157,San Joaquin,37.82,-121.27,INLAND,830,216,26458,127500
4158,San Joaquin,37.87,-121.27,INLAND,678,234,29531,104000
4159,San Joaquin,37.88,-121.27,INLAND,664,240,16458,83600
4160,San Joaquin,37.93,-121.27,INLAND,1413,283,21250,61200
4161,San Joaquin,37.94,-121.27,INLAND,676,124,17386,52000
4162,San Joaquin,37.95,-121.27,INLAND,1941,454,17736,56800
4163,San Joaquin,37.96,-121.27,INLAND,3246,820,18061,55550
4164,San Joaquin,37.97,-121.27,INLAND,550,224,11141,54400
4165,San Joaquin,37.98,-121.27,INLAND,1814,700,26263,71400
4166,San Joaquin,38.02,-121.27,INLAND,138,52,29821,155000
4167,San Joaquin,38.05,-121.27,INLAND,164,65,34107,82800
4168,San Joaquin,38.11,-121.27,INLAND,3284,1137,31577,111550
4169,San Joaquin,38.12,-121.27,INLAND,2498,914,25268,97900
4170,San Joaquin,38.13,-121.27,INLAND,5512,1983,20122,91475
4171,San Joaquin,38.14,-121.27,INLAND,3235,1123,22066,112200
4172,Sacramento,38.31,-121.27,INLAND,626,178,44107,151600
4173,Sacramento,38.44,-121.27,INLAND,1320,404,58831,209900
4174,Sacramento,38.61,-121.27,INLAND,2840,1299,29452,115600
4175,Sacramento,38.62,-121.27,INLAND,1066,497,27652,95600
4176,Sacramento,38.64,-121.27,INLAND,657,273,43098,213500
4177,Sacramento,38.65,-121.27,INLAND,2089,798,40982,166550
4178,Sacramento,38.66,-121.27,INLAND,1710,730,51627,189250
4179,Sacramento,38.67,-121.27,INLAND,3139,1673,30498,129767
4180,Sacramento,38.69,-121.27,INLAND,1674,568,44489,145600
4181,Sacramento,38.7,-121.27,INLAND,1817,590,46488,145300
4182,Sacramento,38.71,-121.27,INLAND,1912,652,44609,142900
4183,Sacramento,38.72,-121.27,INLAND,2105,663,60804,198700
4184,Placer,38.74,-121.27,INLAND,2086,685,26065,154900
4185,Placer,38.75,-121.27,INLAND,2632,1294,26136,106900
4186,Placer,38.87,-121.27,INLAND,1092,357,44769,191400
4187,Monterey,36.32,-121.26,<1H OCEAN,164,40,23000,206300
4188,San Joaquin,37.88,-121.26,INLAND,256,93,31719,158300
4189,San Joaquin,37.93,-121.26,INLAND,2248,588,14583,53000
4190,San Joaquin,37.94,-121.26,INLAND,1409,365,17574,51700
4191,San Joaquin,37.95,-121.26,INLAND,2045,573,19416,60650
4192,San Joaquin,37.96,-121.26,INLAND,2284,739,22797,63050
